source,held_id,held_name,held_address,db_id,db_name,db_address,google_name,google_address,place_id
held-green,7309,לחם ארטיזן,"הנחושת 3, רמת החייל, תל אביב, Israel",4355,לחם ארטיזן,"הנחושת 3, רמת החייל, תל אביב, Israel",לחם ארטיזן,"HaNechoshet St 3, Tel Aviv-Yafo, Israel",ChIJJ86j5ZRJHRURXc7-Kzf_mxw
phase-a,1988,Verre Bar,"השמורה 2, זכרון יעקב, Israel",6935,וור בר,"השמורה 2, זכרון יעקב",וור בר - VERRE BAR (כשר),"HaShmura St, Zikhron Ya'akov, 3094071, Israel",ChIJ88ofuFALHRURnCUY9t7gdrw
phase-a,2356,מאמא בפיתה נהריה,"שד' הגעתון 52, נהריה, Israel",2165,בפיתה נהריה,"שד' הגעתון 19, נהריה, Israel",בפיתה נהריה,"Sderot HaGa'aton 19, Nahariya, 2244427, Israel",ChIJV_HmcTXPHRURqeK61rZFYEk
phase-a,7104,ארקפה קיסריה - כשר,"הרקיע 1, קיסריה",2580,ארקפה,"הרקיע 1, קיסריה, Israel",ארקפה קיסריה Arcaffe Caesarea,"ונוס קיסריה, Ha-Rakia St 1, Caesarea, 3070216, Israel",ChIJAXd8r5gNHRURoQCgzhBeBL0
phase-a,4308,פיצה פרגו מודיעין,"לאה אמנו 1, מודיעין והסביבה, Israel",3633,פיצה פרגו,"רחל אמנו 1, מודיעין והסביבה, Israel",פרגו פיצה במודיעין,"Lea Imenu St 1, Modi'in-Maccabim-Re'ut, 7176250, Israel",ChIJhwIrWNfNAhURZs1fDUiH08c
phase-a,4380,בורגרס בר,"יגאל אלון 121, תל אביב, Israel",6983,Burgers Bar עזריאלי תל אביב,"קניון עזריאלי, תל אביב",Burgers Bar,"קניון עזריאלי, Derech Menachem Begin 132, קומה 2, Tel Aviv-Jaffa, Israel",ChIJkaYvb5lLHRURCaN6gbMwRMw
phase-a,5918,פיצה שמש נתניה הרצל,"הרצל 51, נתניה, Israel",5839,פיצה שמש נתניה,"הרצל 51, נתניה, Israel",פיצה שמש נתניה-מרכז העיר,"Herzl St 51, Netanya, Israel",ChIJRzlc4KpqHRURTgrMpi2kzBU
phase-a,4051,ממבו,"סוקולוב 60, חולון, Israel",4177,ממבו mambo,"סוקולוב 60, חולון, Israel",Mambo,"Sokolov St 60, Holon, Israel",ChIJ_bVb3Ke0AhURhanFXauc9ok
phase-a,7298,פיצה פרגו,"הלוחמים 62, תל אביב, Israel",4555,פיצה פרגו,"הלוחמים 62, תל אביב, Israel",Pizza Prego,"Ha-Lokhamim St 62, Tel Aviv-Yafo, Israel",ChIJmeOZT1SzAhURM5Zprs8715c
phase-a,2027,ביגה,"חיפה, Israel",6837,BIGA חוצות המפרץ,"החרושת 2, חיפה",Biga,"Ha-Kharoshet St, Haifa, Israel",ChIJGyyrGpWxHRURCbInQfW6vMA
phase-a,3067,הלאלי,"ולטר מוזס 10, תל אביב, Israel",7017,ALALI,"ולטר מוזס 10, תל אביב",ALALI,"Walter Moses St 10, Tel Aviv-Yafo, Israel",ChIJS7IPAABLHRURJzmSKe6XgL8
phase-a,4211,זותא פיצה,"דיזנגוף 177, תל אביב, Israel",7147,Zota Pizza,"דיזינגוף 177, תל אביב",Zota Pizza,"Dizengoff St 177, Tel Aviv-Yafo, Israel",ChIJWdsiL4hLHRURZY3Ea35S5ZE
phase-a,4714,לוצ'נה מבשרת ציון,"הראל 5, מבשרת ציון, Israel",6772,Luciana מבשרת ציון,"שדרות הראל 5, מבשרת ציון",לוצ׳נה מבשרת - מתחם Country&Park,"Har'el St 5, Mevaseret Zion, 9079101, Israel",ChIJ_XlulxHXAhUR0D-ILRARvB0
phase-a,7328,אושי אושי,"האנגר 21, נמל תל-אביב, Israel",3105,אושי אושי,"האנגר 21, נמל תל-אביב, Israel",Oshi Oshi,"Nemal Tel Aviv St 20-22, Tel Aviv-Yafo, Israel",ChIJRSrzI_ZLHRUR85v7SxwlwMw
phase-a,5417,שווארמת התורכי,"הרצל 99, רחובות, Israel",7216,התורכי כשר,"הרצל 99, רחובות",שווארמה התורכי רחובות,"Herzl St 99, Rehovot, Israel",ChIJF-RAEgW3AhURFuGsEdEx18I
phase-a,2873,האחוזה,"החשמל 1, עפולה, Israel",7172,האחוזה גריל בר,"החשמל 1, עפולה",Ha'Ahuza Grill-Bar,"HaHashmal St 1, Afula, Israel",ChIJaWytfZVRHBUR56-2CMT8MVo
phase-a,6538,Pizza Domino,"הרצל 42, גן יבנה",5403,פיצה דומינו,"הרצל 42, גן יבנה, Israel",פיצה דומינו,"Herzl St 42, Gan Yavne, Israel",ChIJs2K1ZOy8AhURxC8xIFZ9yMM
phase-a,3443,בולונז'רי 96,"יגאל אלון 96, תל אביב, Israel",4359,ברנצ'יס,"יגאל אלון 96, תל אביב, Israel",Boulangerie 96,"Yigal Alon St 96, Tel Aviv-Yafo, Israel",ChIJ5RIEp59LHRURM1zZZBAFxfs
phase-a,2596,מירון בית מאפה חיפה,"דרך הים 2, מרכז הכרמל, חיפה, Israel",6657,Meron Bakery- דרך הים,"דרך הים 2, חיפה","מירון מאפה זהב בע""מ","HaYam Rd 2, Haifa, Israel",ChIJyWUrBam7HRURhlb08d_N5k4
phase-a,3648,פיצה פרגו יפו,"הלוחמים 62, קניון וולפסון, חולון, Israel",4555,פיצה פרגו,"הלוחמים 62, תל אביב, Israel",Pizza Prego,"Ha-Lokhamim St 62, Tel Aviv-Yafo, Israel",ChIJmeOZT1SzAhURM5Zprs8715c
phase-a,4378,פיצה פרגו יפו,"הלוחמים 62, תל אביב, Israel",4555,פיצה פרגו,"הלוחמים 62, תל אביב, Israel",Pizza Prego,"Ha-Lokhamim St 62, Tel Aviv-Yafo, Israel",ChIJmeOZT1SzAhURM5Zprs8715c
phase-a,7154,מאמא גרג רחובות,"בילו 2, רחובות",5632,מאמא גרג,"ביל""ו, רחובות, Israel",MAMA greg,"Bilu St 2, Rehovot, Israel",ChIJheV41263AhURhq4Q2HpaQyI
phase-a,6745,רובידה מעדנייה,"המייסדים 6, מזכרת בתיה",6485,רובידה,"המייסדים 6, מזכרת בתיה",Rubida,"Ha-Meyasdim St 8, Mazkeret Batya, Israel",ChIJm81Bc_-3AhURNqbWzIIod4o
